manga_name,manga_synonym,manga_japanese,manga_english,manga_type,manga_volume,manga_chapters,manga_status,manga_published,manga_genre,manga_theme,manga_demographic,manga_serialization,manga_author,manga_score,manga_ranked,manga_popularity,manga_members,manga_favorites
Shinseiki Evangelion,,新世紀エヴァンゲリオン,Neon Genesis Evangelion,Manga,14,97,Finished,"Dec  26, 1994 to Jun  4, 2013","ActionAction,DramaDrama,MysteryMystery,Sci-FiSci-Fi,SuspenseSuspense","MechaMecha,PsychologicalPsychological","SeinenSeinen,ShounenShounen",Young Ace,"Sadamoto, Yoshiyuki(Story & Art)","8.581(scored by5524155,241 users)1indicates aweighted score.",#11022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#116,"125,839","8,157"
Chihayafuru,,ちはやふる,Chihayafuru,Manga,50,253,Finished,"Dec  28, 2007 to Aug  1, 2022","Award WinningAward Winning,DramaDrama,RomanceRomance","Love PolygonLove Polygon,Strategy GameStrategy Game",JoseiJosei,Be-Love,"Suetsugu, Yuki(Story & Art)","8.581(scored by1612716,127 users)1indicates aweighted score.",#11122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#343,"53,904","2,937"
"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",,生まれ変わってもまた、私と結婚してくれますか,Will you marry me again if you are reborn?,Manga,4,26,Finished,"Oct  20, 2017 to Sep  20, 2019",RomanceRomance,,,Gene pixiv,"Morinaga, Miku(Story & Art)","8.581(scored by1164111,641 users)1indicates aweighted score.",#11222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#589,"34,180",973
The Legend of the Northern Blade,Bukgeom Jeongi,북검전기,The Legend of the Northern Blade,Manhwa,Unknown,202,Finished,"Dec  31, 2019 to Nov  19, 2024","ActionAction,AdventureAdventure,FantasyFantasy",Martial ArtsMartial Arts,,KakaoPage,"Woogack(Story),Hae, Min(Art)","8.581(scored by2225322,253 users)1indicates aweighted score.",#11322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#339,"54,643","1,549"
Wind Breaker,,윈드 브레이커,Wind Breaker,Manhwa,Unknown,553,Discontinued,"Dec  15, 2013 to Jul  11, 2025","DramaDrama,SportsSports",,,Naver Webtoon,"Jo, Yongseok(Story & Art)","8.581(scored by2345023,450 users)1indicates aweighted score.",#11322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#280,"66,132","3,528"
19 Tian,19 Days,19天,,Manhua,Unknown,Unknown,Publishing,"Oct  19, 2018 to ?","Boys LoveBoys Love,ComedyComedy",,,None,Old Xian(Story & Art),"8.571(scored by53755,375 users)1indicates aweighted score.",#11422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1557,"15,002",821
Kino no Tabi: The Beautiful World,Kino's Journey: The Beautiful World,キノの旅 -the Beautiful World-,Kino no Tabi: The Beautiful World,Light Novel,Unknown,Unknown,Publishing,"Mar  10, 2000 to ?","AdventureAdventure,DramaDrama,FantasyFantasy",,,None,"Sigsawa, Keiichi(Story),Kuroboshi, Kouhaku(Art)","8.571(scored by35023,502 users)1indicates aweighted score.",#11522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#973,"22,012",527
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"Diamond Is Not Crash, Dai 4 Bu: Higashikata Jousuke",ジョジョの奇妙な冒険 ダイヤモンドは砕けない,JoJo's Bizarre Adventure Part 4: Diamond Is Unbreakable,Manga,18,174,Finished,"Apr  21, 1992 to Nov  21, 1995","ActionAction,SupernaturalSupernatural",,ShounenShounen,Shounen Jump (Weekly),"Araki, Hirohiko(Story & Art)","8.571(scored by6715467,154 users)1indicates aweighted score.",#11622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#138,"112,878","6,584"
Billy Bat,,BILLY BAT,Billy Bat,Manga,20,165,Finished,"Oct  16, 2008 to Aug  18, 2016","DramaDrama,MysteryMystery,SupernaturalSupernatural","DetectiveDetective,HistoricalHistorical,PsychologicalPsychological",SeinenSeinen,Morning,"Urasawa, Naoki(Story & Art),Nagasaki, Takashi(Story)","8.571(scored by2321423,214 users)1indicates aweighted score.",#11722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#208,"84,997","3,198"
Pandora Hearts,,PandoraHearts,Pandora Hearts,Manga,24,107,Finished,"May  18, 2006 to Mar  18, 2015","AdventureAdventure,FantasyFantasy,MysteryMystery",,ShounenShounen,GFantasy,"Mochizuki, Jun(Story & Art)","8.561(scored by6531265,312 users)1indicates aweighted score.",#11822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#54,"190,000","17,157"
Otoyomegatari,"Young Bride's Story, Otoyome-gatari, The Bride's Stories, Pariya-san wa Otoshigoro",乙嫁語り,A Bride's Story,Manga,Unknown,Unknown,Publishing,"Oct  14, 2008 to ?","Award WinningAward Winning,RomanceRomance",HistoricalHistorical,SeinenSeinen,Aokishi,"Mori, Kaoru(Story & Art)","8.561(scored by1770917,709 users)1indicates aweighted score.",#11922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#218,"80,859","2,836"
Umineko no Naku Koro ni,"Umineko When They Cry, When the Seagulls Cry",うみねこのなく頃に,,Light Novel,8,Unknown,Finished,"Jul  1, 2009 to Aug  3, 2010","FantasyFantasy,HorrorHorror,MysteryMystery,SupernaturalSupernatural,SuspenseSuspense",PsychologicalPsychological,,None,"Ryukishi07(Story),Tomohi(Art)","8.561(scored by24052,405 users)1indicates aweighted score.",#12022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3070,"8,055",538
The Fable,,ザ・ファブル,The Fable,Manga,22,240,Finished,"Nov  1, 2014 to Nov  18, 2019","Award WinningAward Winning,ComedyComedy,SuspenseSuspense","Adult CastAdult Cast,Organized CrimeOrganized Crime",SeinenSeinen,Young Magazine (Weekly),"Minami, Katsuhisa(Story & Art)","8.561(scored by2015720,157 users)1indicates aweighted score.",#12122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#285,"64,927","2,083"
Hirayasumi,,ひらやすみ,Hirayasumi,Manga,Unknown,Unknown,Publishing,"Apr  26, 2021 to ?",Slice of LifeSlice of Life,,SeinenSeinen,Big Comic Spirits,"Shinzou, Keigo(Story & Art)","8.551(scored by45954,595 users)1indicates aweighted score.",#12222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#890,"24,091",648
Diamond no Ace Act II,Daiya no Ace act II,ダイヤのA〈エース〉 act II,Ace of the Diamond Act II,Manga,34,309,Finished,"Aug  19, 2015 to Oct  26, 2022",SportsSports,"SchoolSchool,Team SportsTeam Sports",ShounenShounen,Shounen Magazine (Weekly),"Terajima, Yuuji(Story & Art)","8.551(scored by86628,662 users)1indicates aweighted score.",#12622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1111,"19,637","1,089"
Jibaku Shounen Hanako-kun,,地縛少年花子くん,Toilet-Bound Hanako-kun,Manga,Unknown,Unknown,Publishing,"Dec  18, 2014 to ?",SupernaturalSupernatural,SchoolSchool,ShounenShounen,GFantasy,"Aida, Iro(Story & Art)","8.551(scored by4569645,696 users)1indicates aweighted score.",#12422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#113,"128,744","12,056"
Monogatari Series: Monster Season,"Shinobumonogatari, Yoimonogatari, Amarimonogatari, Ougimonogatari, Shinomonogatari",〈物語〉シリーズ モンスターシーズン,,Light Novel,6,Unknown,Finished,"Jul  20, 2017 to Aug  19, 2021","ComedyComedy,MysteryMystery,SupernaturalSupernatural",VampireVampire,,None,"NISIO, ISIN(Story),VOFAN(Art)","8.551(scored by20672,067 users)1indicates aweighted score.",#12822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2411,"9,949",104
Webtoon Character Na Kang Lim,Suyo Webtoon-ui Na Kang Lim,수요웹툰의 나강림,,Manhwa,Unknown,172,Finished,"May  4, 2021 to Jul  9, 2024","ComedyComedy,RomanceRomance,SupernaturalSupernatural","HaremHarem,SchoolSchool,Time TravelTime Travel",,Naver Webtoon,"Lee, Kyeongmin(Story),Song, Junhyeok(Art)","8.551(scored by74747,474 users)1indicates aweighted score.",#12322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1426,"16,017",847
Skip Beat!,,スキップ・ビート!,Skip Beat!,Manga,Unknown,Unknown,Publishing,"Feb  15, 2002 to ?","ComedyComedy,DramaDrama,RomanceRomance","Love PolygonLove Polygon,ShowbizShowbiz",ShoujoShoujo,Hana to Yume,"Nakamura, Yoshiki(Story & Art)","8.551(scored by4026140,261 users)1indicates aweighted score.",#12222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#175,"95,664","9,199"
Nan Hao Shang Feng,"Nan Hao & Shang Feng, Nanhao Shangfeng",南号尚风,,Manhua,Unknown,Unknown,Publishing,"Apr  30, 2021 to ?",ComedyComedy,SchoolSchool,,None,Brownie(Story & Art),"8.551(scored by81068,106 users)1indicates aweighted score.",#12422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#917,"23,467",580
Shingeki no Kyojin,,進撃の巨人,Attack on Titan,Manga,34,141,Finished,"Sep  9, 2009 to Apr  9, 2021","ActionAction,Award WinningAward Winning,DramaDrama,SuspenseSuspense","GoreGore,MilitaryMilitary,SurvivalSurvival",ShounenShounen,Bessatsu Shounen Magazine,"Isayama, Hajime(Story & Art)","8.551(scored by427804427,804 users)1indicates aweighted score.",#12922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3,"688,075","69,701"
Tokyo Ghoul,Toukyou Kushu,東京喰種トーキョーグール,Tokyo Ghoul,Manga,14,144,Finished,"Sep  8, 2011 to Sep  18, 2014","ActionAction,FantasyFantasy,HorrorHorror","GoreGore,PsychologicalPsychological,Urban FantasyUrban Fantasy",SeinenSeinen,Young Jump,"Ishida, Sui(Story & Art)","8.551(scored by303487303,487 users)1indicates aweighted score.",#13022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#6,"556,436","49,878"
Hi no Tori,"Hi no Tori (1967), Hi no Tori: Reimei-hen, Phoenix: Dawn",火の鳥,Phoenix,Manga,16,19,Discontinued,"Dec  20, 1966 to Feb  1988","DramaDrama,FantasyFantasy,RomanceRomance,Sci-FiSci-Fi,SupernaturalSupernatural","HistoricalHistorical,PsychologicalPsychological,SpaceSpace",ShounenShounen,Manga Shounen,"Tezuka, Osamu(Story & Art)","8.541(scored by50845,084 users)1indicates aweighted score.",#13122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#804,"26,319",747
Kara no Kyoukai: The Garden of Sinners,"Rakkyo, Boundry of Emptiness, The Borderline of Emptiness",空の境界 the Garden of sinners,,Light Novel,2,10,Finished,Oct  1998 to Aug  1999,"ActionAction,FantasyFantasy,MysteryMystery","PsychologicalPsychological,Urban FantasyUrban Fantasy",,None,"Type-Moon(Story & Art),Nasu, Kinoko(Story),Takeuchi, Takashi(Art)","8.541(scored by37663,766 users)1indicates aweighted score.",#13222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1159,"18,947",607
Ping Pong,,ピンポン,,Manga,5,55,Finished,1996 to  1997,"DramaDrama,SportsSports",,SeinenSeinen,Big Comic Spirits,"Matsumoto, Taiyou(Story & Art)","8.541(scored by81998,199 users)1indicates aweighted score.",#13322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#834,"25,313",804
Kamisama Hajimemashita,Divine Nanami,神様はじめました,Kamisama Kiss,Manga,25,154,Finished,"Feb  20, 2008 to May  20, 2016","ComedyComedy,FantasyFantasy,RomanceRomance,SupernaturalSupernatural",MythologyMythology,ShoujoShoujo,Hana to Yume,"Suzuki, Julietta(Story & Art)","8.541(scored by3808838,088 users)1indicates aweighted score.",#13422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#174,"95,950","5,758"
Rurouni Kenshin: Meiji Kenkaku Romantan,"Samurai X, Sengoku no Mikazuki, Crescent Moon in the Warring States, Crescent Moon Over a Country At War, Meteor Strike",るろうに剣心 -明治剣客浪漫譚-,Rurouni Kenshin: Meiji Swordsman Romantic Story,Manga,28,259,Finished,"Apr  12, 1994 to Sep  21, 1999","ActionAction,DramaDrama","HistoricalHistorical,SamuraiSamurai",ShounenShounen,Shounen Jump (Weekly),"Watsuki, Nobuhiro(Story & Art)","8.531(scored by5009550,095 users)1indicates aweighted score.",#13522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#151,"103,972","7,203"
Fruits Basket,FuruBa,フルーツバスケット,Fruits Basket,Manga,23,136,Finished,"Jul  18, 1998 to Nov  20, 2006","Award WinningAward Winning,DramaDrama,RomanceRomance,SupernaturalSupernatural","Love PolygonLove Polygon,SchoolSchool",ShoujoShoujo,Hana to Yume,"Takaya, Natsuki(Story & Art)","8.531(scored by7589475,894 users)1indicates aweighted score.",#13622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#88,"150,903","14,861"
One Outs,,ONE OUTS,,Manga,20,175,Finished,"Nov  14, 1998 to Aug  15, 2006",SportsSports,"Adult CastAdult Cast,PsychologicalPsychological,Team SportsTeam Sports",SeinenSeinen,Business Jump,"Kaitani, Shinobu(Story & Art)","8.531(scored by1331813,318 users)1indicates aweighted score.",#13722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#510,"39,335","1,382"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 3-nensei-hen,,ようこそ実力至上主義の教室へ 3年生編,Classroom of the Elite: Year 3,Light Novel,Unknown,Unknown,Publishing,"Mar  24, 2025 to ?",DramaDrama,"PsychologicalPsychological,SchoolSchool",,None,"Tomose, Shunsaku(Art),Kinugasa, Shougo(Story)",8.531(scored by703703 users)1indicates aweighted score.,#13822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#9064,"2,422",89
Kimi ni Okuru Eien,The Summer You Were There: The Eternity For You,君に贈る永遠,"The Eternity for You: ""The Summer You Were There""",Manga,1,Unknown,Finished,"Feb  17, 2024",Girls LoveGirls Love,,,None,Yuama(Story & Art),8.531(scored by858858 users)1indicates aweighted score.,#13922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12228,"1,663",17
Eleceed,,일렉시드,Eleceed,Manhwa,Unknown,Unknown,Publishing,"Oct  2, 2018 to ?",ActionAction,Super PowerSuper Power,,Naver Webtoon,"Kim, Hye-Jin(Art),Son, Jae-Ho(Story)","8.531(scored by1571515,715 users)1indicates aweighted score.",#14022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#482,"41,323","1,721"
After School Lessons for Unripe Apples,"20th Century Green Apple School, 90's Cram School for Unripe Apples, Segimal Putsagwa Boseup Hagwon",세기말 풋사과 보습학원,After School Lessons for Unripe Apples,Manhwa,Unknown,Unknown,Publishing,"Dec  23, 2020 to ?",RomanceRomance,SchoolSchool,,Naver Webtoon,Soonkki(Story & Art),"8.531(scored by31153,115 users)1indicates aweighted score.",#14122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2586,"9,390",526
Sasaki to Miyano,,佐々木と宮野,Sasaki and Miyano,Manga,Unknown,Unknown,Publishing,"Feb  26, 2016 to ?",Boys LoveBoys Love,"Otaku CultureOtaku Culture,SchoolSchool",,Gene pixiv,"Harusono, Shou(Story & Art)","8.521(scored by1332313,323 users)1indicates aweighted score.",#14522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#468,"42,182","2,398"
Umineko no Naku Koro ni Chiru,,うみねこのなく頃に 散,,Light Novel,7,Unknown,Finished,"Jul  13, 2012 to Sep  30, 2018","FantasyFantasy,HorrorHorror,MysteryMystery,SupernaturalSupernatural,SuspenseSuspense",PsychologicalPsychological,,None,"Ryukishi07(Story),Tomohi(Art)","8.521(scored by16211,621 users)1indicates aweighted score.",#14322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4889,"4,998",201
Steins;Gate,"Chouyoku no Divergence:Reverse, Keijijou no Necrosis:Reverse, Kyoukai Menjou no Steins,Gate:Rebirth, Rokubungi no Idiom",STEINS;GATE,,Light Novel,5,17,Finished,"Jun  30, 2011 to May  31, 2012","Sci-FiSci-Fi,SuspenseSuspense",,,None,"Sakai, Kyuuta(Art),Miwa, Kiyomune(Story)","8.521(scored by41774,177 users)1indicates aweighted score.",#14422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1499,"15,458",216
Suzumiya Haruhi Series,"Suzumiya Haruhi no Yuuutsu, The Melancholy of Haruhi Suzumiya",涼宮ハルヒシリーズ,,Light Novel,Unknown,Unknown,Publishing,"Jun  6, 2003 to ?","ComedyComedy,DramaDrama,Sci-FiSci-Fi,SupernaturalSupernatural",SchoolSchool,,The Sneaker,"Tanigawa, Nagaru(Story),Itou, Noizi(Art)","8.521(scored by1258912,589 users)1indicates aweighted score.",#14222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#495,"40,688","1,825"
Yagate Kimi ni Naru: Saeki Sayaka ni Tsuite,,やがて君になる 佐伯沙弥香について,Bloom into You: Regarding Saeki Sayaka,Light Novel,3,9,Finished,"Nov  10, 2018 to Mar  10, 2020","DramaDrama,Girls LoveGirls Love",SchoolSchool,,None,"Iruma, Hitoma(Story),Nakatani, Nio(Art)","8.511(scored by24492,449 users)1indicates aweighted score.",#14822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2575,"9,417",270
Shimeji Simulation,,シメジ シミュレーション,,Manga,5,49,Finished,"Jan  26, 2019 to Nov  27, 2023",Slice of LifeSlice of Life,SchoolSchool,,Comic Cune,Tsukumizu(Story & Art),"8.511(scored by70737,073 users)1indicates aweighted score.",#14922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#775,"27,163","1,493"
Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch,When Seagulls Cry Episode 5: End of the Golden Witch,うみねこのなく頃に散 - Episode 5: End of the Golden Witch,Umineko WHEN THEY CRY Episode 5: End of the Golden Witch,Manga,6,27,Finished,"Oct  22, 2010 to Nov  22, 2012","DramaDrama,FantasyFantasy,HorrorHorror,MysteryMystery,SupernaturalSupernatural,SuspenseSuspense",PsychologicalPsychological,ShounenShounen,Gangan Joker,"Ryukishi07(Story),Akitaka(Art)","8.511(scored by85338,533 users)1indicates aweighted score.",#14722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1224,"18,073",529
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,"SukaSuka, What are you doing at the end? Are you busy? Can you save me?, Do you have what THE END? Are you busy? Shall you save xxx?",終末なにしてますか？忙しいですか？救ってもらっていいですか？,WorldEnd: What Do You Do at the End of the World? Are You Busy? Will You Save Us?,Light Novel,5,25,Finished,"Nov  1, 2014 to Apr  1, 2016","DramaDrama,FantasyFantasy,RomanceRomance,Sci-FiSci-Fi",,,None,"Kareno, Akira(Story),ue(Art)","8.511(scored by62126,212 users)1indicates aweighted score.",#14622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#732,"28,322",944
Blue Giant,,BLUE GIANT,Blue Giant,Manga,10,80,Finished,"May  10, 2013 to Aug  25, 2016",Award WinningAward Winning,MusicMusic,SeinenSeinen,Big Comic,"Ishizuka, Shinichi(Story & Art)","8.501(scored by62606,260 users)1indicates aweighted score.",#15522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#766,"27,447",587
Ouran Koukou Host Club,"OHSHC, Romantic Egoist",桜蘭高校ホスト部,Ouran High School Host Club,Manga,18,87,Finished,"Jul  24, 2002 to Sep  24, 2010","ComedyComedy,DramaDrama,RomanceRomance","CrossdressingCrossdressing,Reverse HaremReverse Harem,SchoolSchool",ShoujoShoujo,LaLa,"Hatori, Bisco(Story & Art)","8.501(scored by6279362,793 users)1indicates aweighted score.",#15322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#102,"135,482","8,292"
Kidou Senshi Gundam: The Origin,Amuro 0082,機動戦士ガンダム THE ORIGIN,Mobile Suit Gundam: The Origin,Manga,24,112,Finished,"Jun  25, 2001 to Jun  26, 2014","ActionAction,Award WinningAward Winning,DramaDrama,Sci-FiSci-Fi","MechaMecha,MilitaryMilitary,SpaceSpace",ShounenShounen,Gundam Ace,"Yasuhiko, Yoshikazu(Story & Art),Tomino, Yoshiyuki(Story)","8.501(scored by47984,798 users)1indicates aweighted score.",#15422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1176,"18,786",823
The Boxer,,더 복서,The Boxer,Manhwa,13,123,Finished,"Dec  4, 2019 to May  4, 2022","DramaDrama,SportsSports",Combat SportsCombat Sports,,Naver Webtoon,"Jeong, Ji-Hoon(Story & Art)","8.501(scored by2752827,528 users)1indicates aweighted score.",#15222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#330,"56,344","2,211"
Monogatari Series: Off Season,"Orokamonogatari, Wazamonogatari, Nademonogatari, Musubimonogatari",〈物語〉シリーズ オフシーズン,,Light Novel,4,155,Finished,"Oct  5, 2015 to Jan  12, 2017","ComedyComedy,DramaDrama,MysteryMystery,SupernaturalSupernatural",VampireVampire,,None,"NISIO, ISIN(Story),VOFAN(Art)","8.501(scored by22322,232 users)1indicates aweighted score.",#15022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3031,"8,148",131
Kimi no Suizou wo Tabetai,KimiSui,君の膵臓をたべたい,I Want to Eat Your Pancreas,Manga,2,10,Finished,"Aug  25, 2016 to May  25, 2017","DramaDrama,RomanceRomance",,,Monthly Action,"Kirihara, Idumi(Art),Sumino, Yoru(Story)","8.501(scored by2625126,251 users)1indicates aweighted score.",#15122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#372,"51,117","1,983"
Return of the Blossoming Blade,"Return of the Mount Hua Sect, Return of the Flowery Mountain Sect, Hwasan Gwihwan",화산귀환,Return of the Blossoming Blade,Manhwa,Unknown,Unknown,Publishing,"Mar  23, 2021 to ?","ActionAction,AdventureAdventure,FantasyFantasy","Martial ArtsMartial Arts,ReincarnationReincarnation",,Naver Webtoon,"LICO(Art),Biga(Story)","8.491(scored by1419914,199 users)1indicates aweighted score.",#15622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#540,"36,901","1,014"
Mushoku Tensei: Dasoku-hen,"Mushoku Tensei: Redundancy, Jobless Reincarnation: Redundancy",無職転生 ～蛇足編～,Mushoku Tensei: Redundant Reincarnation,Light Novel,Unknown,Unknown,Publishing,"Jun  23, 2023 to ?","FantasyFantasy,Slice of LifeSlice of Life","IsekaiIsekai,ReincarnationReincarnation",,None,"Rifujin na Magonote(Story),Sirotaka(Art)","8.491(scored by11501,150 users)1indicates aweighted score.",#15722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5418,"4,454",83
Baccano!,,バッカーノ!,Baccano!,Light Novel,22,Unknown,On Hiatus,"Feb  10, 2003 to Aug  10, 2016","ActionAction,FantasyFantasy,MysteryMystery",Organized CrimeOrganized Crime,,None,"Narita, Ryohgo(Story),Enami, Katsumi(Art)","8.491(scored by33963,396 users)1indicates aweighted score.",#15822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#954,"22,450",494
Fate/Zero,,Fate/Zero,,Light Novel,4,18,Finished,"Dec  29, 2006 to Dec  29, 2007","ActionAction,FantasyFantasy",Urban FantasyUrban Fantasy,,None,"Takeuchi, Takashi(Art),Urobuchi, Gen(Story)","8.491(scored by94389,438 users)1indicates aweighted score.",#15922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#690,"30,140",989
Watashitachi no Shiawase na Jikan,"Watashi-tachi no Shiawase na Jikan, Our Happy Hours, Our Happy Time",私たちの幸せな時間,,Manga,1,8,Finished,"Mar  28, 2008 to Aug  22, 2008","DramaDrama,RomanceRomance","MusicMusic,PsychologicalPsychological",SeinenSeinen,Comic Bunch,"Yumeka, Sumomo(Art)","8.491(scored by5692156,921 users)1indicates aweighted score.",#16022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#120,"122,576","4,821"
Sotsugyousei,"Sotsugyosei: 2nd Season, 3rd Season, Graduate",卒業生,Classmates: Sotsu gyo sei,Manga,2,16,Finished,"Jan  25, 2008 to Aug  28, 2009","Boys LoveBoys Love,DramaDrama",,,Opera,"Nakamura, Asumiko(Story & Art)","8.491(scored by98469,846 users)1indicates aweighted score.",#16122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1008,"21,381",371
Kakukaku Shikajika,,かくかくしかじか,Blank Canvas: My So-Called Artist's Journey,Manga,5,34,Finished,"Nov  28, 2011 to Jan  28, 2015","Award WinningAward Winning,Slice of LifeSlice of Life","MemoirMemoir,Otaku CultureOtaku Culture,Visual ArtsVisual Arts",JoseiJosei,Cocohana,"Higashimura, Akiko(Story & Art)","8.491(scored by80428,042 users)1indicates aweighted score.",#16222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#689,"30,170","1,143"
Given,,ギヴン,Given,Manga,9,58,Finished,"Apr  30, 2013 to Mar  30, 2023","Boys LoveBoys Love,DramaDrama","MusicMusic,SchoolSchool",,Cheri+,"Kizu, Natsuki(Story & Art)","8.481(scored by2742827,428 users)1indicates aweighted score.",#16522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#255,"70,019","4,620"
JoJo no Kimyou na Bouken Part 8: JoJolion,"Jojorion, JoJo's Bizarre Adventure Part 8: Jojolion",ジョジョの奇妙な冒険 Part8 ジョジョリオン,,Manga,27,110,Finished,"May  19, 2011 to Aug  19, 2021","ActionAction,AdventureAdventure,Award WinningAward Winning,MysteryMystery,SupernaturalSupernatural",,SeinenSeinen,Ultra Jump,"Araki, Hirohiko(Story & Art)","8.481(scored by8340383,403 users)1indicates aweighted score.",#16322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#71,"170,326","8,973"
Sakamichi no Apollon,"Sakamichi no Aporon, Kids on the Slope",坂道のアポロン,,Manga,9,45,Finished,"Sep  28, 2007 to Jan  28, 2012","Award WinningAward Winning,DramaDrama,RomanceRomance","Love PolygonLove Polygon,MusicMusic,SchoolSchool",JoseiJosei,Flowers (Monthly),"Kodama, Yuki(Story & Art)","8.481(scored by1192211,922 users)1indicates aweighted score.",#16422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#604,"33,685","1,017"
Bakemonogatari,"Monster Tale, Monogatari Series: First Season",化物語,Bakemonogatari,Manga,22,193,Finished,"Mar  14, 2018 to Mar  15, 2023","ActionAction,ComedyComedy,DramaDrama,MysteryMystery,RomanceRomance,SupernaturalSupernatural",VampireVampire,ShounenShounen,Shounen Magazine (Weekly),"Oh! Great(Art),NISIO, ISIN(Story)","8.481(scored by1307413,074 users)1indicates aweighted score.",#16622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#441,"44,437","1,867"
Yubisaki to Renren,,ゆびさきと恋々,A Sign of Affection,Manga,Unknown,Unknown,Publishing,"Jul  24, 2019 to ?",RomanceRomance,Adult CastAdult Cast,ShoujoShoujo,Dessert,"Morishita, Suu(Story & Art)","8.481(scored by1602416,024 users)1indicates aweighted score.",#16722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#301,"61,558","2,573"
Villains Are Destined to Die,"Death Is the Only Ending for the Villainess, Agyeok-ui Ending Jugeum-ppun",악역의 엔딩은 죽음뿐,Villains Are Destined to Die,Manhwa,Unknown,Unknown,Publishing,"May  1, 2020 to ?","DramaDrama,FantasyFantasy,RomanceRomance","Reverse HaremReverse Harem,VillainessVillainess",,KakaoPage,"Gwon, Gyeoeul(Story),SUOL(Art)","8.481(scored by1658416,584 users)1indicates aweighted score.",#16822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#423,"45,915","1,996"
Spy x Family,,SPY×FAMILY,Spy x Family,Manga,Unknown,Unknown,Publishing,"Mar  25, 2019 to ?","ActionAction,ComedyComedy",ChildcareChildcare,ShounenShounen,Shounen Jump+,"Endou, Tatsuya(Story & Art)","8.471(scored by138678138,678 users)1indicates aweighted score.",#16922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#18,"332,540","19,773"
